cx;cy;radius;color
71.3000030518;65.8000030518;15.08916498683741;#859900
71.5999984741;66;15.19416335307739;#859900
71.9000015259;65.9000015259;15.29467554412319;#859900
72.5999984741;66.1999969482;15.38874263869534;#859900
73.1999969482;66.3000030518;15.48063952167351;#859900
73;66.5;15.57095372801551;#859900
72.9000015259;66.6999969482;15.66497047555469;#859900
73.6999969482;66.8000030518;15.7565414986919;#859900
73.9000015259;66.8000030518;15.84727105845041;#859900
74.5;66.8000030518;15.93742764689459;#859900
74.9000015259;66.5;16.02454991567626;#859900
75.3000030518;66.0999984741;16.11;#859900
75.5;65.6999969482;16.17804067246711;#859900
75.4000015259;65.5;16.25699418711836;#859900
75.1999969482;65.5;16.33307564422574;#859900
75;65.5999984741;16.4039412947011;#859900
75.1999969482;65.3000030518;16.46286585926035;#859900
