cx;cy;radius;color
54.4000015259;49.5;7.1609880603;#dc322f
54.4000015259;49;7.1776089333;#dc322f
54.2999992371;48.2999992371;7.191839125;#dc322f
54.2000007629;47.5;7.2038239845;#dc322f
54.2999992371;48;7.2152338839;#dc322f
54.5999984741;48;7.2265759527;#dc322f
54.2999992371;47.5999984741;7.237900248;#dc322f
54.4000015259;48;7.2497034422;#dc322f
54.5999984741;48.2000007629;7.263626367;#dc322f
54.7000007629;49.2000007629;7.2805197617;#dc322f
54.7000007629;49.9000015259;7.2988471007;#dc322f
55;50.0999984741;7.3238473496;#dc322f
55.7999992371;51.0999984741;7.3579457052;#dc322f
55.7999992371;50.9000015259;7.380313408;#dc322f
55.7000007629;50.7000007629;7.4017362828;#dc322f
55.5999984741;50.7000007629;7.4117311743;#dc322f
55.5999984741;51.2000007629;7.4290210324;#dc322f
